Laranjeiras,Carapina,Camburi,Sua,VixCentro,Ibes,VVCentro,Cariacica
21.9583,15.8333,26.9167,23.3333,21.0833,19.4583,16.7917,22.5417
30.7083,17.3333,19.1250,24.1667,13.4583,22.3333,16.6667,17.2500
34.9583,24.1250,29.7083,31.5833,23.0417,32.0833,24.6667,56.7500
32.4583,31.1667,31.4583,41.2917,26.7083,26.1667,22.3750,64.6667
20.9167,25.0417,26.2917,24.1667,19.1250,18.8333,15.7917,35.0000
23.0000,22.1250,37.8333,26.9167,28.0833,26.0417,21.7500,40.8750
32.9583,19.2917,34.1250,27.7917,18.1667,28.9167,18.9583,41.3750
29.7500,22.9583,30.7500,27.2083,23.6667,26.6250,22.4583,48.7917
25.5417,20.0833,21.5000,19.2917,16.9167,18.8750,14.2083,28.1667
29.6250,19.7083,29.3750,18.7083,20.8750,23.5833,17.1667,31.6250
35.0833,21.6667,30.3333,30.1667,33.5417,28.1250,34.3333,44.9583
30.7500,22.1667,32.3750,26.8333,30.9167,27.7500,23.2083,49.8750
15.9583,14.4167,22.8750,17.7917,19.0000,13.9167,11.5833,39.3333
23.7500,20.5000,32.2500,23.3750,27.0833,26.9583,17.6250,46.0417
24.1667,23.1667,39.2500,28.9167,32.3750,32.0833,26.0000,54.3750
30.7083,20.2083,25.0417,32.5000,19.0000,34.2917,24.1667,24.2917
46.2500,29.8750,36.0000,37.0000,29.9167,35.5417,34.7500,54.5000
15.9167,7.2500,9.0417,7.5000,8.6667,8.6250,5.9167,18.8333
23.7083,18.9167,22.7083,19.8750,19.9583,20.2083,12.7917,47.0000
17.5833,17.3750,34.0833,19.2917,22.3750,17.2500,11.2083,28.5833
26.6667,36.1667,36.6250,39.2500,34.8750,37.0833,33.8333,69.6250
29.0000,24.4583,32.7917,28.0000,24.3333,35.8750,28.3333,72.2083
21.9167,18.5000,18.9167,21.9583,17.6667,28.6250,13.2500,33.5833
21.5417,25.2500,25.0417,31.8750,24.1667,22.5833,12.0833,68.2500
32.2083,20.9583,27.6250,27.8750,21.4583,33.0833,17.2083,42.5000
41.7083,28.2500,33.4167,25.6250,21.4167,38.3333,28.0417,82.2917
49.4167,31.2083,39.7917,35.2083,23.3333,39.0417,26.5833,50.6250
36.5417,30.6250,45.2917,37.4167,31.5417,33.2500,24.0833,44.2917
29.5000,19.9167,31.3333,22.2500,23.0000,23.2083,19.7500,43.2083
28.8750,19.8750,21.2083,29.6667,17.8333,27.3750,18.0417,27.0833
22.3333,22.1667,33.4583,22.9167,26.1250,21.1667,28.4167,46.9167
37.1667,21.2500,33.1667,30.2083,19.9583,35.0417,18.2500,48.5417
37.5417,18.9167,26.4583,24.6667,17.4583,24.0000,17.7500,35.0417
59.5000,24.5417,39.1667,29.1667,27.4167,32.2917,44.3333,44.6250
64.2917,32.1667,38.5000,42.0000,26.5833,40.1250,57.2500,59.8750
45.7500,34.7083,34.0000,34.5000,39.8750,47.2083,38.6250,72.5833
42.9167,27.4583,30.4583,31.3333,27.5833,43.3333,27.0833,55.8333
49.3333,23.6667,27.2083,21.2917,27.7083,54.0833,31.0000,46.9583
69.5000,38.6250,33.4167,39.4167,33.2917,57.7500,41.7917,67.6667
30.5833,16.9583,22.0417,24.4167,27.0000,33.4583,26.5833,51.2917
24.7917,18.6667,28.3333,29.2917,24.0417,34.5000,20.6667,54.2083
42.3750,26.9583,37.5417,37.8333,24.4167,38.5417,20.2917,51.8333
65.8750,27.7083,34.0833,44.4583,25.1667,38.8333,22.2917,44.8333
50.2500,22.1250,24.9167,34.9583,19.9167,38.7500,22.2500,32.8750
37.1667,28.4583,31.9167,35.5000,30.2083,40.1667,28.0833,48.6250
40.7917,21.7917,27.4583,36.5833,23.5000,34.5000,22.0417,42.8333
53.4583,25.0000,30.3333,42.0000,22.8333,46.7083,25.4583,51.2500
41.1250,30.5417,44.0000,43.2083,33.0833,42.3750,29.9167,63.2500
62.2083,35.7917,42.0000,41.3333,33.2917,52.2083,49.0000,55.8750
38.8333,29.7083,37.8750,29.2917,30.7500,31.2917,28.1250,42.8750
20.3333,12.9583,17.5833,18.7500,16.0417,15.6667,16.9167,22.4167
23.0000,23.5000,25.2500,27.2500,24.2917,24.4583,20.3750,45.1250
20.1667,20.2500,19.4583,24.3333,16.8750,17.8333,14.0833,32.9583
10.9167,10.8750,12.9167,9.2083,7.6667,7.8333,10.6250,25.2917
13.9167,17.9583,25.6667,19.9583,19.1667,17.8333,28.5833,30.4167
24.3750,27.0000,25.7917,26.7083,27.2083,20.2500,21.6250,42.3750
30.2083,33.4583,22.3333,20.4583,26.8750,21.8750,21.7083,62.0417
23.0000,16.1250,29.1667,13.4583,23.3750,17.5833,14.2500,34.6667
36.8750,23.0000,29.5000,23.6667,27.7500,18.4583,41.9167,45.7500
28.0833,25.1667,24.8333,23.0833,22.4167,22.1667,37.5833,46.2917
21.2917,16.0417,15.4167,16.7083,16.8333,12.6250,31.8333,31.2500
18.1250,12.1667,21.4583,21.1250,18.0833,17.2083,26.2917,31.9583
10.8750,11.7500,13.0833,15.6667,14.0833,10.6667,11.0000,20.6667
13.6250,15.0000,14.5000,17.0833,13.4583,12.5417,20.7083,22.0000
22.9583,28.0417,31.4583,18.7917,27.2500,19.8750,30.2500,40.1250
25.9167,23.0000,35.7083,30.3333,38.0000,37.5000,66.3333,50.2500
19.0000,20.5833,21.7083,21.0000,22.0000,26.5000,21.9583,37.6667
39.6667,24.3750,27.5417,23.5833,26.5000,29.6667,19.2500,49.2500
53.0000,28.3750,33.3333,52.6667,29.4167,45.7500,36.3750,44.0000
53.4583,29.4167,35.2917,31.4583,29.0000,39.7083,36.0417,45.6667
45.6667,26.7083,26.5833,27.2083,22.5833,32.6667,29.0833,34.5000
21.7083,15.9167,16.0833,16.2083,14.2917,13.5833,16.1250,23.4583
28.9167,24.6250,22.3750,26.3750,28.4583,27.0000,19.7917,55.5833
28.4167,23.9583,24.7083,22.5000,28.2917,31.3750,23.0417,46.1250
35.2917,18.2917,18.8750,13.2917,16.2917,23.5833,14.4583,30.5833
37.1667,16.0417,20.8750,13.2917,13.5417,21.0833,19.2917,28.9583
54.5417,20.4583,28.5833,19.6667,23.4167,30.9583,24.1667,36.5833
28.7917,13.0417,14.9167,9.5833,12.1250,15.1667,11.2500,23.7500
29.6667,21.0833,21.9167,22.8750,21.7083,25.0833,22.4167,40.2917
30.9167,23.8750,28.4167,29.4167,27.1667,30.0833,22.1250,55.2500
32.1667,18.5417,25.1667,15.0417,14.7083,19.2917,16.8750,17.2917
31.0833,18.4167,25.5417,19.7500,19.3750,27.0833,22.5417,27.7083
46.4583,23.0417,28.4167,30.3333,23.0000,38.5000,31.1250,34.8333
31.5000,27.1667,31.2083,34.9167,35.0417,31.0417,28.3333,48.7083
22.4167,18.0833,19.0417,18.2917,18.1667,20.8333,24.2917,33.0417
15.6667,19.3750,19.8750,19.6250,20.7917,18.3750,23.7083,43.1250
34.4167,21.7500,27.5000,24.1250,31.8333,22.9583,29.6667,40.2083
44.6250,25.7083,32.2500,46.9583,26.5417,45.5000,27.8750,45.0000
22.5000,13.5833,15.7917,19.3333,16.2917,14.7917,10.2083,21.8750
38.3750,28.1250,30.8750,37.7500,29.8750,35.7500,24.9583,57.8750
30.5417,28.1250,42.5000,34.0417,36.5833,32.9583,23.1250,44.0833
40.6667,23.6250,31.9167,37.5417,23.2500,35.5000,26.4167,34.9583
